"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"1","한국장학재단","인문100년장학금","한국장학재단","장학금","성적우수","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학신입생","교육계열/사회계열/인문계열"," * 계속장학생(전공확립유형)백분위 90점 이상 또는 평점 3.60/4.5만점(3.40이상/4.3만점) 최소이수학점 기준 : 직전학기 12학점 이상 * 장학생 중간 평가(2+2) 대상자계절학기 및 재수강 취득 성적을 포함하여 직전 2년간(1∼2학년) 4개 학기(5년제는 5개학기) 성적이 백분위 87점 이상 또는 평점 3.5이상/4.5만점(3.3이상/4.3만점) 성적기준 충족시 나머지 2년간 계속 지원 ※ 자세한 사항은 한국장학 홈페이지 참고","해당없음","등록금 : 장학생 선정 후 매학기별 등록금 전액 지원 (입학금 수업료 기성회비)생활비 : 선발된 장학생은 계속지원 충족 및 대학의 학생 자체평가 후 학기당 2500000원 지원 기초생활수급자 : 계속지원 기준을 충족하는 기초생활수급자는 학기당 2500000원 추가지원"," * 대한민국 국적소지자로서 국내 4년제 대학의 인문사회계열 학과(부)에 재학중인 1학년 신입생 또는 3학년전공탐색 : 1학년 신입생전공확립 : 3학년 재학생","해당없음","대학별 배정인원 범위 내에서 선발기준에 따라 대학별 자체 선발"," ※ 학교마다 선발하는 인원이 상이하므로 장학부서에 확인 필수","인문100년 장학금 장학생 자격 유지자 또는 기존 인문 100년장학생으로 선발된 후 영구탈락 된 학생한국장학재단에서 운영중인 타 장학금 기수혜자 또는 장학생 자격 유지자계약학과(등록금전액/일부지원) 선발제외 ※ 자세한 사항 첨부파일 참고","해당없음","신규장학생: 전공탐색유형/ 전공확립유형 : 학업계획서/ 전인적성장계획서 계속장학생: 중간평가(2+2) : 중간평가서/ 학업장려비 : 진도보고서/ 교수평가서 ※ 자세한 사항은 한국장학재단 홈페이지 참고","https://www.kosaf.go.kr","2023-03-20","2023-04-07"
"2","국립국제교육원","GKS외국인우수자비장학생","관계부처","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","국내 대학 재학 전체 기간 동안 100점 만점에 평균 80점 이상직전 학기 학점이 100점 만점에 평균 80점 이상한국어 능력시험(TOLIK)4급 이상 ","해당없음","500만원(월 50만원) * 수혜기간 2022.3~2022.12 (10개월)","2022년 3월 기준 국내 대학(전문대학 포함) 학부 과정에 재학중이고/ 2학기 이상을 이수한 외국인 자비유학생2학기 이상 이수과정이 남아 있는 자 대학에서 외국인 유학생으로 관리하고 있는 외국 국적 소유자 ","해당없음","해당없음","250명 대학별 추천인원 : 20명 이하 추천 가능","휴학 중이거나 휴학 예정인 자/ 초과학기 포함 2학기 이수 잔여자교환학생이나 해외파견 예정자조기 졸업 예정자 ㅇ","해당없음","자세한 내용은 공고문 확인 바람람","http://www.niied.go.kr","2022-02-08","2022-02-28"
"3","국립국제교육원","국비유학생","관계부처","장학금","기타","제한없음","대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","일반/ 꿈나래 전형은 평균성적이 만점의 80% 이상인 사람* 자세한 사항은 첨부파일 참조","꿈나래 전형의 경우 수급권자·차상위계층·한부모지원대상자","국가별 차이있음. 첨부자료 확인. (1년 단위로 장학금 지급)","한국사능력검정시험 3급(또는 4급) 이상인 사람외국어 시험 성적(첨부파일 참고)을 충족하는 사람국내대학 졸업자/ 2023년 8월말 졸업예정자 또는 이와 같은 수준 이상의 학력이 있는 자※ 자세한 사항은 첨부파일 참조","해당없음","1차 서류심사2차 면접시험","일반전형 : 40명꿈나래전형 : 20명기술기능인 전형 : 4명","원격대학 및 기술대학의 경우 전문학사학위를 받았거나 받을 예정인 사람은 제외남자는 군필 또는 면제자이중국적자의 경우 국비유학 전까지 외국국적을 포기해야 함자격취득과정은 지원불가","해당없음","제출서류 체크리스트응시원서대학졸업증명서 병적증명서대학 전 과정 성적증명서주민등록등본/ 가족관계증명서 (공고일 이후 발급분)추천서외국어 시험 성적표한국사능력검정시험 3급지원분야 관련 대외활동 실적 기술서 및 증빙서류국외수학 계획서대학원 전 과정 성적증명서(대학원 졸업자만 해당)저소득층 특별선형 응시자격 입증서류(꿈나래 전형 응시자해당)중소기업재직경력표(기술기능인 전형 응시다 해당)개인정보 제공 및 고유식별정보 처리 동의서 * 자세한 사항은 첨부자료 참고 필수","http://www.niied.go.kr","2023-05-08","2023-05-26"
"4","광주남구장학회","행복나눔 장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," 직전학기 12학점 이상 취득하고/ 성적 평균 2.75 이상인 자 (4.3만점은 2.6이상)","2023년도 기준 중위소득 100% 이하인 가구 * 직계가족의 3개월 평균국민건강보험료 산정","1인당 1000000원 * 생활비 지원","공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자","보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자","서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인심사의결 (장학생 선발 심사위원회)최종선정자 발표선발결과 : 개별 안내 및 홈페이지 게시","11명","원격대학2년 미만 교육과정의 각족 학교평생교육법에 의거 설립한 학교최근 2년 남구장학회 장학생으로 선발된 자 * 자세한 사항 공문 참조","해당없음","장학생 신청서주민등록표등본학생 명의의 가족관계증명서건강보험 자격확인서건강보험료 납부확인서2022년 1학기 성적증명서재학증명서2학기 등록금 납입증명서개인정보 수짐/이용/제공 및 조회 동의서통장 사본가정환경 세대구성 관련증명서 (해당자)*자세한 사항 공고문 참조","https://namgu.gwangju.kr","2023-09-18","2023-10-06"
"5","광주남구장학회","특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 취득하고/ 성적 평균 2.75 이상인 자 (4.3만점은 2.6이상)","2023년도 기준 중위소득 150% 이하인 가구 * 직계가족의 3개월 평균국민건강보험료 산정","1인당 1000000원 * 생활비 지원","공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자3자녀 이상 가구 다문화 가구본인 또는 가구원이 장애인인 가구","보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자","서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인심사의결 (장학생 선발 심사위원회)최종선정자 발표선발결과 : 개별 안내 및 홈페이지 게시","10명","원격대학2년 미만 교육과정의 각족 학교평생교육법에 의거 설립한 학교최근 2년 남구장학회 장학생으로 선발된 자 * 자세한 사항 공문 참조","해당없음","장학생 신청서주민등록표등본학생 명의의 가족관계증명서건강보험 자격확인서건강보험료 납부확인서2023년 1학기 성적증명서재학증명서개인정보 수짐/이용/제공 및 조회 동의서통장 사본가정환경 세대구성 관련증명서 (해당자)*자세한 사항 공고문 참조","https://namgu.gwangju.kr","2023-09-18","2023-10-06"
"6","농파장학회","장학금","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","학업성적이 우수한 자 ","가정형편이 곤란한 자","4년간 등록금 전액 지급","4년제 국내 국공립 대학합격자","본적이 경남출신인 자","해당없음","0명","1. 형제 중 본 장학회에 입회된 자 또는 타 장학회 수혜자2. 휴학2회 이상자/ 성적불량자/ 장학생으로 품위가 없는 자3. 불순단체 가입자4. 중간에 대학 또는 과 바꾼 자","출신 고등학교장","1. 제출처(우편접수/ 방문접수 가능 / 원서접수일 마지막날까지 도착을 원칙으로 합니다. 접수 마감일에 발송할경우 원서접수 불가능)경상남도 진주시 진주대로 932(칠암동) 칠암빌딩4층 농파장학회2. 제출서류 ▷출신고등학교장의 추천서 ▷자기 소개서 ▷서약서 ▷가족관계등록부1통 (학생본인의 본적이 나와있는) ▷수능성적표 첨부 (사본가능) ▷(추천서 포함)사진2매(3cm× 4cm) ▷신입생 입학금 및 등록금 납입고지서 영수증사본 1부","http://cafe.daum.net/nongpa","2022-02-07","2022-02-11"
"7","재단법인 조준장학재단","장학생","민간(기타)","장학금","기타","특정대학","대학4학기/대학5학기","특정학과","전체학기 평점평균 3.8/4.3 이상","3구간 이내의 가정형편이 어려운 남학생","7200000원 (생활비/연)","군 제대 후 복학한 남학생/ 지방출신자 우선선발","해당없음","1차 서류전형/ 2차 면접전형","각 학교당 1명","국비장학금을 포함 기타 다른 장학금을 받지 않는자","* 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수.","장학생 지원 신청서지도교수 추천서자기소개서성적증명서재학증명서학자금지원구간통지서개인정보수집동의서","http://www.chojun.kr/","2022-12-05","2022-12-08"
"8","우리다문화장학재단","학업장학","민간(기업)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","2023년 기준 중위소득 100% 이하인 가구","1인당 4500000원(2회 분할지급)","다문화가족 자녀국내 2/3/4년제 대학교 재학생 및 휴학생 (정규학기 12학점 이상)졸업까지 3학기 이상 남은 학생매월 1회 이상 대학 장학생 서포터즈 '우리누리'활동에 필수 참여","해당없음","해당없음","40명","외국인/ 북한이탈주민 지원불가특기장학과 중복지원 불가능","소속대학 총장 및 학과장/ 다문화 및 사회 복지기관장/ 지자체 및 주민센터장","장학생 신청서자기소개서재학증명서성적증명서(신입생 제외)장학생 추천서주민등록등본 가족관계증명서다문화 학생임을 입증할 수 있는 서류 1부법정 저소득 증빙서류차상위 본인부담경감대상자 증명서(해당자)건강보험자격확인서(해당자)건강보험료 납부확인서(해당자)자원봉사활동 실적확인서(해당자)수상 실적 자료(해당자) * 자세한 사항은 첨부자료 참고","http://www.woorifoundation.or.kr","2023-04-12","2023-05-03"
"9","우리다문화장학재단","특기장학","민간(기업)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1인당 5000.000원","특기 및 재능보유 다문화가족 자녀(8세~25세)예·체능 및 어학 특기자/ 자격·기술보유자/ 직업·진로 특기자 등최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함","해당없음","해당없음","20명","학업장학과 중복지원 불가외국인/ 새터민 지원 불가","소속학교 총장(지도교수 및 학과장 포함)/ 특기·재능 관련 전문기관장/ 지자체 및 주민센터장/ 다문화 및 사회복지기관장","장학생 신청서자기소개서재학증명서 또는 졸업증명서 또는 재직증명서 또는 경력증명서장학생 추천서주민등록등본가족관계증명서다문화 학생임을 입증할 수 있는 서류법정 저소득 증빙서류(해당자)차상위 본인부담경감대상자 증명서(해당자)건강보험자격확인서(해당자)건강보험료 납부확인서(해당자)자원봉사활동 실적확인서(해당자)수상 실적 자료 또는 경력관련 포트폴리오 [필수] (수상확인서/ 상장 사본/ 관련기사 스크랩 등)","http://www.woorifoundation.or.kr","2023-04-12","2023-05-03"
"10","지헌장학재단","삼원지헌장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학5학기/대학6학기/대학7학기/대학8학기이상","예체능계열","최근1년 평균성적 B+ 이상/ 3.5/4.5이상","부모 또는 보호자의 년소득액이 6천 5백만원 이하인자","1000000원 * 생활비(학자금 및 디자인 재료비)로 타 장학금과 이중수혜 가능","학업의지가 높고/ 학문적 자질이 우수한 인재4년제 대학교 3~4학년 재학생시각디자인 전공자 및 판화 전공자","해당없음","1차 서류전형2차 면접전형 (필요시)","44명 내외","기업체 학술연수 및 입사 조건부 장학금을 받는 자장학금을 수령한 학기에는 휴학을 할 수 없으며/ 휴학의 경우 장학금을 반환해야 함","해당없음","장학생 선발원서보호자 생활현황자기소개 및 학업계획서주민등록등본 또는 가족관계증명서부/모 또는 보호자 각각의 소득금액증명원 (2021년도 분)성적증명서입상증명서(해당자)통장사본(본인 또는 보호자)개인정보 수집/ 이용/ 제공 동의서 * 자세한 사항은 첨부자료 참고","http//www.jiheonsf.or.kr","2023-09-01","2023-09-22"
